                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3714,                 2.9096,                 1.5396,                0.55893,                0.46629,                0.51584,                0.27474,                 1.4901,                 2.0639,                 1.6482,             0.00047599,             0.00047599,             0.00047599
                      2,                 1.3855,                  2.021,                 1.5202,                0.64469,                0.56985,                0.65205,                0.40373,                 1.3036,                 1.8236,                 1.4773,             0.00087375,             0.00087375,             0.00087375
                      3,                 1.3296,                 1.6431,                 1.5174,                0.64727,                0.63828,                0.70556,                0.45361,                 1.2246,                 1.6962,                  1.416,              0.0011929,              0.0011929,              0.0011929
                      4,                 1.2345,                 1.3856,                 1.4368,                0.78676,                0.75164,                0.81816,                0.53036,                 1.1206,                 1.4473,                 1.3135,              0.0010753,              0.0010753,              0.0010753
                      5,                 1.1812,                 1.2163,                 1.3765,                0.84939,                0.74211,                0.83867,                 0.5822,                 1.0533,                 1.6902,                 1.2553,              0.0010753,              0.0010753,              0.0010753
                      6,                 1.0909,                 1.0555,                 1.3159,                0.82175,                 0.8244,                0.88212,                0.62445,                  1.038,                 1.1001,                  1.239,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.0391,                0.92455,                 1.2769,                0.85993,                0.82952,                0.89082,                0.63809,                 1.0211,                 1.0513,                 1.2095,             0.00083954,             0.00083954,             0.00083954
                      8,                0.97951,                 0.8321,                 1.2263,                0.88483,                0.87796,                0.90019,                0.66968,                 0.9666,                0.88827,                 1.1703,             0.00072164,             0.00072164,             0.00072164
                      9,                0.93939,                0.76726,                 1.1957,                0.88006,                0.86428,                0.90142,                0.67787,                0.93134,                0.84786,                 1.1436,             0.00060375,             0.00060375,             0.00060375
                     10,                0.87191,                0.67615,                 1.1517,                0.91004,                0.88701,                0.91961,                0.68699,                 0.9719,                0.76055,                 1.1555,             0.00048586,             0.00048586,             0.00048586
                     11,                0.83034,                 0.6055,                 1.1222,                0.93113,                0.91229,                0.93167,                0.71513,                0.90921,                0.69616,                 1.1223,             0.00036797,             0.00036797,             0.00036797
                     12,                0.78445,                0.54996,                 1.0936,                0.92119,                0.91761,                0.93797,                0.72094,                0.90002,                0.64679,                   1.13,             0.00025007,             0.00025007,             0.00025007
