                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.253,                 3.3023,                 1.4492,                 0.6558,                0.60382,                0.64026,                0.40053,                 1.1979,                 3.0729,                 1.3524,              0.0033285,              0.0033285,              0.0033285
                      2,                 1.2219,                 2.1935,                 1.3667,                0.76193,                0.52473,                0.66261,                0.42146,                 1.2431,                 1.9813,                 1.4344,              0.0065958,              0.0065958,              0.0065958
                      3,                 1.3416,                 1.9743,                 1.4456,                0.26197,                0.24165,                0.17461,                0.09312,                  1.938,                 3.9854,                 2.2607,              0.0097972,              0.0097972,              0.0097972
                      4,                  1.425,                 1.9345,                   1.52,                0.78409,                0.61014,                0.72136,                0.45736,                 1.2971,                  1.788,                 1.4425,               0.009703,               0.009703,               0.009703
                      5,                 1.3394,                 1.6611,                 1.4468,                0.80087,                0.71439,                0.78827,                0.50469,                  1.275,                 1.2714,                 1.4453,               0.009703,               0.009703,               0.009703
                      6,                 1.2707,                 1.4868,                 1.3986,                0.81203,                0.79687,                0.83817,                0.58094,                 1.1142,                 1.1725,                  1.312,               0.009604,               0.009604,               0.009604
                      7,                 1.2178,                 1.3676,                 1.3587,                0.82665,                0.81704,                0.86516,                0.60274,                 1.1365,                0.98938,                 1.3142,               0.009505,               0.009505,               0.009505
                      8,                 1.1912,                 1.3083,                 1.3463,                0.88315,                0.82672,                 0.8757,                0.63141,                 1.0508,                0.96046,                 1.2663,               0.009406,               0.009406,               0.009406
                      9,                 1.1567,                 1.2211,                  1.321,                0.91712,                0.79181,                0.89936,                  0.656,                 1.0493,                0.87143,                 1.2509,               0.009307,               0.009307,               0.009307
                     10,                 1.1416,                 1.1928,                 1.3099,                0.86994,                0.84484,                0.88493,                0.63537,                   1.03,                0.91822,                 1.2382,               0.009208,               0.009208,               0.009208
                     11,                 1.0997,                 1.1103,                 1.2765,                 0.8984,                0.84941,                0.90668,                 0.6683,                 1.0277,                0.85469,                 1.2221,               0.009109,               0.009109,               0.009109
                     12,                 1.0827,                  1.069,                 1.2644,                0.90595,                0.85667,                 0.9162,                0.67414,                 1.0289,                0.83447,                 1.2029,                0.00901,                0.00901,                0.00901
                     13,                 1.0573,                 1.0391,                 1.2486,                0.88373,                0.88756,                0.91514,                0.67491,                 1.0121,                0.77236,                 1.1777,               0.008911,               0.008911,               0.008911
                     14,                 1.0508,                 1.0104,                 1.2412,                0.88741,                0.89293,                0.91728,                 0.6899,                 1.0035,                0.74748,                 1.2027,               0.008812,               0.008812,               0.008812
                     15,                 1.0372,                0.99405,                 1.2317,                 0.8968,                0.90222,                0.92948,                0.69716,                0.97988,                0.71492,                 1.1749,               0.008713,               0.008713,               0.008713
                     16,                 1.0118,                0.95579,                 1.2164,                0.94169,                0.87287,                0.92989,                0.71463,                0.94852,                0.70102,                 1.1545,               0.008614,               0.008614,               0.008614
                     17,                  1.002,                0.94097,                 1.2139,                0.89428,                0.90749,                0.93633,                0.71246,                0.95215,                0.66915,                 1.1511,               0.008515,               0.008515,               0.008515
                     18,                0.98977,                0.91255,                  1.201,                0.91214,                0.88082,                0.93177,                0.71623,                0.96013,                0.69299,                 1.1632,               0.008416,               0.008416,               0.008416
                     19,                0.97785,                0.88268,                 1.1934,                0.92524,                0.89231,                0.93341,                0.71381,                0.96839,                0.68543,                 1.1503,               0.008317,               0.008317,               0.008317
                     20,                0.95165,                0.86312,                 1.1768,                0.91536,                0.92444,                0.94135,                0.72033,                0.95754,                0.63494,                 1.1707,               0.008218,               0.008218,               0.008218
