                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87983,                0.75751,                 1.1412,                0.94984,                0.92813,                0.95526,                 0.7564,                 0.8302,                0.52097,                 1.0814,               0.007195,               0.007195,               0.007195
                     37,                0.87321,                0.74227,                 1.1392,                0.96246,                0.93183,                0.95925,                0.75742,                 0.8407,                0.50445,                 1.0895,              0.0071125,              0.0071125,              0.0071125
                     38,                0.86663,                0.73771,                 1.1341,                0.95619,                0.92823,                 0.9539,                0.75071,                0.83465,                0.49703,                 1.0821,                0.00703,                0.00703,                0.00703
                     39,                0.85797,                0.73498,                  1.127,                 0.9558,                0.92688,                0.96107,                0.76058,                0.82731,                0.48974,                 1.0763,              0.0069475,              0.0069475,              0.0069475
                     40,                0.85121,                0.71433,                 1.1226,                0.96743,                0.94027,                 0.9595,                 0.7691,                0.83343,                0.47185,                 1.0778,               0.006865,               0.006865,               0.006865
                     41,                0.85068,                0.70736,                 1.1224,                0.96202,                 0.9303,                0.96375,                 0.7696,                0.82699,                0.45836,                 1.0724,              0.0067825,              0.0067825,              0.0067825
                     42,                0.84563,                0.71053,                 1.1189,                0.93614,                0.95246,                0.95781,                0.76665,                0.82903,                0.46596,                 1.0727,                 0.0067,                 0.0067,                 0.0067
                     43,                0.83741,                0.71262,                 1.1143,                0.95592,                0.93248,                 0.9595,                0.76813,                0.81782,                0.45792,                 1.0655,              0.0066175,              0.0066175,              0.0066175
                     44,                0.82732,                0.70284,                 1.1096,                0.94802,                0.93374,                0.95713,                0.76951,                0.82312,                0.49139,                 1.0715,               0.006535,               0.006535,               0.006535
                     45,                0.82966,                0.69268,                 1.1121,                 0.9537,                  0.944,                0.95575,                0.76573,                0.82071,                0.48912,                 1.0691,              0.0064525,              0.0064525,              0.0064525
                     46,                0.81767,                0.68035,                 1.1011,                0.95084,                0.93582,                0.95978,                0.77058,                0.83986,                0.47664,                 1.0866,                0.00637,                0.00637,                0.00637
                     47,                 0.8028,                0.66339,                 1.0936,                0.94151,                0.94435,                0.96278,                0.77384,                0.81881,                0.47069,                 1.0776,              0.0062875,              0.0062875,              0.0062875
                     48,                0.81378,                0.67422,                 1.1035,                0.96226,                0.92006,                0.96023,                0.77113,                0.82216,                0.48036,                 1.0782,               0.006205,               0.006205,               0.006205
                     49,                 0.8131,                0.67549,                 1.0999,                0.95913,                0.92749,                0.95869,                0.76964,                0.83927,                0.50042,                 1.0884,              0.0061225,              0.0061225,              0.0061225
                     50,                 0.7964,                0.64283,                  1.087,                0.95695,                 0.9294,                0.95748,                0.77149,                0.82871,                0.48334,                 1.0894,                0.00604,                0.00604,                0.00604
                     51,                0.79379,                0.65493,                 1.0862,                0.95612,                0.93486,                0.95863,                0.76889,                0.82754,                0.48504,                 1.0896,              0.0059575,              0.0059575,              0.0059575
                     52,                0.78579,                0.64462,                 1.0802,                0.95718,                0.94348,                0.95945,                0.77212,                0.83043,                0.47359,                 1.0913,               0.005875,               0.005875,               0.005875
                     53,                 0.7864,                0.64234,                 1.0848,                0.95828,                0.93271,                0.95759,                0.77045,                 0.8249,                0.48248,                 1.0886,              0.0057925,              0.0057925,              0.0057925
                     54,                 0.7758,                0.62531,                 1.0752,                0.96073,                0.92983,                0.95759,                0.77142,                0.82865,                0.47962,                 1.0926,                0.00571,                0.00571,                0.00571
                     55,                0.78057,                0.63243,                  1.081,                0.94984,                0.93218,                0.95664,                0.76903,                0.83405,                0.47543,                 1.0959,              0.0056275,              0.0056275,              0.0056275
                     56,                0.77709,                0.63018,                 1.0772,                0.96237,                0.93506,                0.96255,                0.77532,                0.83863,                0.47648,                 1.1034,               0.005545,               0.005545,               0.005545
                     57,                0.76467,                0.61772,                 1.0717,                0.95737,                0.93045,                 0.9589,                0.77095,                0.83106,                0.46927,                  1.089,              0.0054625,              0.0054625,              0.0054625
                     58,                0.76666,                0.61725,                 1.0732,                0.95982,                0.93681,                0.95859,                0.77092,                0.84275,                0.46742,                 1.0933,                0.00538,                0.00538,                0.00538
                     59,                0.76332,                0.61099,                 1.0707,                0.96275,                0.93819,                0.95785,                0.77227,                 0.8406,                0.46485,                 1.0936,              0.0052975,              0.0052975,              0.0052975
                     60,                0.75237,                0.60311,                 1.0641,                0.95805,                0.93864,                0.95813,                0.77177,                0.83345,                 0.4613,                 1.0916,               0.005215,               0.005215,               0.005215
                     61,                 0.7452,                0.60143,                 1.0609,                0.95654,                0.93757,                 0.9613,                0.77516,                 0.8304,                0.45358,                 1.0933,              0.0051325,              0.0051325,              0.0051325
                     62,                0.74328,                0.59708,                 1.0615,                0.96424,                0.94059,                0.96054,                0.77728,                0.82471,                0.45088,                   1.09,                0.00505,                0.00505,                0.00505
                     63,                0.74643,                0.59814,                 1.0638,                0.96304,                0.93662,                 0.9598,                0.77587,                0.81788,                0.45097,                 1.0865,              0.0049675,              0.0049675,              0.0049675
                     64,                0.74378,                0.58937,                 1.0664,                0.96125,                0.93465,                0.96162,                0.77638,                0.81847,                0.44972,                  1.085,               0.004885,               0.004885,               0.004885
                     65,                0.73863,                0.59036,                 1.0569,                0.95569,                 0.9349,                0.96052,                0.77445,                   0.82,                0.45117,                 1.0827,              0.0048025,              0.0048025,              0.0048025
                     66,                0.73228,                0.58749,                 1.0534,                0.96113,                0.93036,                0.96155,                0.77992,                0.81683,                0.44847,                 1.0803,                0.00472,                0.00472,                0.00472
                     67,                0.72994,                0.57862,                 1.0495,                0.96451,                0.93511,                0.96149,                0.77537,                0.81441,                0.44487,                 1.0802,              0.0046375,              0.0046375,              0.0046375
                     68,                0.73354,                0.57561,                 1.0519,                0.96398,                0.93433,                0.96099,                0.77703,                0.81377,                0.45403,                  1.079,               0.004555,               0.004555,               0.004555
                     69,                0.72323,                0.56339,                 1.0486,                0.96219,                0.93552,                 0.9595,                0.77428,                0.81447,                0.45874,                 1.0834,              0.0044725,              0.0044725,              0.0044725
                     70,                0.71433,                0.56634,                 1.0447,                0.96583,                0.92483,                0.96104,                0.78055,                  0.817,                0.45756,                 1.0865,                0.00439,                0.00439,                0.00439
                     71,                0.71261,                0.55653,                 1.0406,                0.96137,                 0.9261,                0.96177,                0.78186,                0.81775,                0.46247,                 1.0856,              0.0043075,              0.0043075,              0.0043075
                     72,                0.70549,                0.55723,                 1.0381,                 0.9561,                0.93675,                0.96323,                0.78505,                0.81577,                0.46064,                 1.0876,               0.004225,               0.004225,               0.004225
                     73,                0.70427,                0.55193,                  1.036,                0.95702,                0.93619,                0.96355,                0.78433,                 0.8154,                0.46519,                  1.089,              0.0041425,              0.0041425,              0.0041425
                     74,                0.69382,                0.53837,                 1.0336,                0.95752,                0.93239,                0.96251,                0.78366,                0.81564,                0.45692,                 1.0908,                0.00406,                0.00406,                0.00406
                     75,                 0.6968,                0.53771,                  1.034,                0.96106,                0.92592,                0.96258,                0.78461,                0.81645,                0.45878,                 1.0928,              0.0039775,              0.0039775,              0.0039775
                     76,                0.69208,                0.53455,                 1.0335,                0.95718,                0.92469,                0.96267,                0.78054,                0.81781,                0.45761,                 1.0938,               0.003895,               0.003895,               0.003895
                     77,                0.68927,                0.53634,                  1.035,                 0.9532,                0.92878,                0.96209,                0.77956,                0.81419,                0.45674,                 1.0931,              0.0038125,              0.0038125,              0.0038125
                     78,                0.67839,                0.52241,                 1.0261,                 0.9497,                0.92913,                0.96067,                 0.7788,                0.81307,                0.45208,                 1.0933,                0.00373,                0.00373,                0.00373
                     79,                0.68828,                0.52116,                 1.0282,                0.94882,                0.93313,                0.96034,                0.77827,                0.81322,                 0.4558,                 1.0952,              0.0036475,              0.0036475,              0.0036475
