                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3234,                 3.4865,                 1.5094,                0.51967,                0.47254,                0.48507,                0.30172,                 1.2374,                 3.0728,                 1.4449,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.3032,                 2.4463,                 1.4424,                0.60031,                0.51914,                0.57787,                0.34731,                 1.3604,                 1.8905,                 1.5322,              0.0066093,              0.0066093,              0.0066093
                      3,                 1.4194,                 2.1681,                 1.5102,                0.66082,                 0.4977,                0.56583,                0.33519,                 1.4034,                 2.6544,                 1.5619,              0.0098326,              0.0098326,              0.0098326
                      4,                 1.4969,                 2.1168,                 1.5765,                0.68582,                0.65533,                0.70048,                0.42357,                 1.3203,                 1.6821,                 1.4649,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4358,                 1.8832,                 1.5151,                 0.6728,                 0.7318,                0.76048,                 0.5042,                  1.156,                 1.4704,                 1.3417,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3785,                 1.7269,                 1.4738,                0.82741,                0.68485,                 0.8024,                0.52147,                 1.1817,                 1.4996,                 1.3377,                0.00967,                0.00967,                0.00967
                      7,                 1.3378,                 1.6123,                 1.4378,                0.81676,                0.73279,                0.83325,                0.56202,                 1.1135,                 1.1872,                 1.3217,              0.0095875,              0.0095875,              0.0095875
                      8,                  1.286,                 1.5121,                 1.4069,                0.86094,                0.79082,                0.85712,                0.59714,                 1.1032,                 1.1154,                 1.2934,               0.009505,               0.009505,               0.009505
                      9,                 1.2632,                 1.4438,                 1.3895,                0.89408,                0.80783,                0.88946,                0.62977,                  1.054,                   1.17,                 1.2444,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2352,                 1.3738,                 1.3688,                 0.9001,                0.81865,                0.89751,                0.62482,                 1.0258,                 1.0349,                 1.2355,                0.00934,                0.00934,                0.00934
                     11,                    1.2,                 1.2958,                 1.3337,                0.87679,                0.81249,                0.89625,                0.64082,                 1.0383,                0.95119,                 1.2403,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.1766,                 1.2534,                 1.3246,                0.87678,                0.82208,                0.89658,                 0.6286,                 1.0734,                0.95876,                 1.2608,               0.009175,               0.009175,               0.009175
                     13,                 1.1671,                 1.2294,                 1.3132,                0.87413,                0.86392,                0.91041,                0.66807,                 0.9913,                0.90855,                 1.2046,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.1463,                 1.1982,                 1.3001,                0.90118,                0.88892,                0.92554,                  0.685,                0.98277,                0.85922,                 1.1904,                0.00901,                0.00901,                0.00901
                     15,                 1.1449,                  1.171,                 1.2971,                0.88782,                0.87682,                0.92087,                0.65858,                 1.0015,                0.88004,                 1.2023,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.1214,                 1.1215,                 1.2814,                0.90313,                0.87396,                0.92104,                0.68292,                0.98459,                0.85474,                 1.1932,               0.008845,               0.008845,               0.008845
                     17,                 1.1061,                 1.1097,                 1.2668,                 0.9116,                0.86866,                0.92681,                0.68772,                0.97795,                0.89139,                 1.1666,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.0917,                 1.0736,                 1.2583,                0.90392,                 0.9126,                0.92763,                0.70215,                 0.9319,                0.81869,                 1.1558,                0.00868,                0.00868,                0.00868
                     19,                 1.0734,                 1.0572,                 1.2445,                0.89485,                0.89772,                0.92832,                0.69828,                0.96653,                0.79711,                 1.1728,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.0725,                 1.0462,                 1.2422,                0.89151,                0.86497,                0.92159,                0.70282,                0.94068,                0.76416,                 1.1731,               0.008515,               0.008515,               0.008515
                     21,                 1.0546,                 1.0041,                 1.2319,                0.93664,                0.85678,                0.92281,                0.70136,                   0.92,                0.76428,                 1.1373,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.0508,                 1.0109,                  1.224,                0.91847,                0.90611,                 0.9397,                0.70767,                0.94657,                0.67827,                   1.15,                0.00835,                0.00835,                0.00835
                     23,                 1.0313,                0.97688,                 1.2123,                 0.9074,                 0.9059,                0.93703,                0.71572,                0.92067,                0.64796,                  1.133,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.0341,                0.96882,                 1.2169,                0.93878,                0.90076,                0.93946,                0.72173,                0.89483,                 0.6792,                 1.1091,               0.008185,               0.008185,               0.008185
                     25,                 1.0228,                0.96066,                 1.2124,                0.93328,                0.90348,                0.94135,                0.72611,                0.88713,                0.66077,                  1.116,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.0137,                0.92892,                 1.2048,                0.95171,                0.89068,                0.94668,                0.72193,                0.90008,                0.67742,                 1.1079,                0.00802,                0.00802,                0.00802
                     27,                 1.0059,                 0.9241,                 1.1979,                0.92779,                0.89563,                0.93794,                0.72018,                0.90934,                0.63544,                 1.1209,              0.0079375,              0.0079375,              0.0079375
                     28,                0.99416,                0.90341,                 1.1921,                0.94223,                0.89651,                0.94889,                0.73199,                0.90003,                0.64762,                 1.1263,               0.007855,               0.007855,               0.007855
                     29,                0.98016,                0.88184,                 1.1854,                0.92924,                0.92306,                0.94999,                0.73681,                0.90766,                0.60831,                  1.125,              0.0077725,              0.0077725,              0.0077725
                     30,                0.97851,                0.88731,                 1.1837,                 0.9666,                0.90758,                0.95213,                0.73897,                0.89666,                0.58998,                 1.1124,                0.00769,                0.00769,                0.00769
                     31,                0.97332,                0.86018,                 1.1783,                0.95163,                0.90813,                  0.946,                0.72583,                0.91512,                 0.6159,                 1.1224,              0.0076075,              0.0076075,              0.0076075
                     32,                0.95451,                0.85253,                 1.1653,                 0.9412,                0.91953,                0.94817,                0.74035,                0.85543,                0.60859,                 1.0824,               0.007525,               0.007525,               0.007525
                     33,                  0.956,                0.84668,                 1.1637,                0.94223,                0.92294,                0.94662,                0.73831,                0.85528,                0.60695,                 1.0813,              0.0074425,              0.0074425,              0.0074425
                     34,                 0.9531,                0.84502,                 1.1695,                0.94245,                0.91368,                0.94538,                 0.7407,                0.85957,                0.58526,                 1.0924,                0.00736,                0.00736,                0.00736
                     35,                0.94393,                0.82002,                  1.157,                0.94846,                0.91016,                0.94791,                0.74488,                0.86342,                0.56629,                 1.0966,              0.0072775,              0.0072775,              0.0072775
                     36,                0.94264,                0.81908,                 1.1548,                0.95207,                0.92796,                0.94987,                 0.7468,                0.88005,                0.56703,                 1.0986,               0.007195,               0.007195,               0.007195
                     37,                0.93383,                0.80844,                 1.1519,                 0.9447,                0.91988,                0.94616,                0.74206,                0.88048,                0.57374,                  1.099,              0.0071125,              0.0071125,              0.0071125
                     38,                0.92913,                0.81486,                 1.1545,                0.95353,                0.93619,                0.95627,                0.74777,                0.87779,                0.53032,                 1.1104,                0.00703,                0.00703,                0.00703
                     39,                 0.9177,                0.79134,                 1.1458,                0.94925,                0.92076,                0.95222,                0.74806,                0.85075,                0.53523,                 1.0896,              0.0069475,              0.0069475,              0.0069475
                     40,                0.91842,                0.79459,                  1.145,                0.94833,                0.92938,                0.95466,                0.75216,                0.85911,                0.53805,                 1.0959,               0.006865,               0.006865,               0.006865
                     41,                0.91117,                0.78032,                 1.1397,                0.96149,                0.92249,                0.95485,                0.74943,                0.86768,                0.57646,                  1.089,              0.0067825,              0.0067825,              0.0067825
