                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3442,                 2.8612,                 1.5187,                0.53032,                0.45985,                0.43859,                0.22537,                 1.5927,                 2.3831,                 1.8338,             0.00047599,             0.00047599,             0.00047599
                      2,                 1.3724,                 2.0239,                 1.5135,                0.64875,                0.58189,                0.65022,                0.39931,                 1.2883,                 1.7831,                 1.4432,             0.00087375,             0.00087375,             0.00087375
                      3,                 1.2845,                 1.5968,                 1.5005,                0.78486,                0.63756,                0.73391,                0.45532,                 1.2371,                 1.7099,                 1.4141,              0.0011929,              0.0011929,              0.0011929
                      4,                 1.1916,                 1.3104,                 1.4313,                0.86174,                0.79028,                0.86871,                0.58557,                 1.0925,                 1.0942,                 1.2833,              0.0010753,              0.0010753,              0.0010753
                      5,                 1.1302,                 1.1527,                 1.3616,                0.85869,                0.80241,                0.86715,                0.59859,                 1.0491,                  1.168,                 1.2329,              0.0010753,              0.0010753,              0.0010753
                      6,                 1.0515,                0.97849,                 1.3028,                0.88742,                0.79881,                0.89203,                0.62432,                 1.0589,                 0.9864,                 1.2693,             0.00095743,             0.00095743,             0.00095743
                      7,                0.98801,                0.85729,                 1.2518,                0.85227,                0.82928,                0.87528,                0.64907,                0.96392,                 1.0213,                 1.1848,             0.00083954,             0.00083954,             0.00083954
                      8,                0.93568,                0.76076,                 1.2125,                0.90283,                 0.8926,                0.93168,                0.70184,                0.92816,                0.74585,                 1.1465,             0.00072164,             0.00072164,             0.00072164
                      9,                0.89418,                0.69754,                 1.1806,                0.91018,                0.88556,                 0.9284,                0.70095,                0.92467,                0.71368,                 1.1556,             0.00060375,             0.00060375,             0.00060375
                     10,                 0.8305,                0.61817,                 1.1357,                0.93072,                 0.8696,                0.92885,                0.70464,                0.90301,                0.69578,                 1.1151,             0.00048586,             0.00048586,             0.00048586
                     11,                0.78641,                0.55514,                 1.1072,                0.94564,                0.91734,                0.95246,                0.73131,                0.88739,                0.59192,                 1.1224,             0.00036797,             0.00036797,             0.00036797
                     12,                0.74316,                0.50253,                 1.0788,                0.95281,                 0.9063,                0.94851,                0.73271,                0.86606,                0.69032,                  1.107,             0.00025007,             0.00025007,             0.00025007
